Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,Data
2020-07-06,757.7142857142857,216.14285714285714,790.7142857142857,2017.4285714285713,4305.0,1878.7142857142858,2503.5714285714284,1247.7142857142858,8361.285714285714,987.7142857142857,163.14285714285714,523.2857142857143,1123.0,2831.714285714286,1879.7142857142858,760.0,2232.285714285714,2809.1428571428573,839.4285714285714,94.14285714285714,9194.857142857143,2020-07-06
2020-07-07,744.2857142857143,210.14285714285714,806.1428571428571,1741.2857142857142,4381.142857142857,1828.2857142857142,2467.1428571428573,1277.857142857143,7970.285714285715,964.1428571428571,162.85714285714286,514.5714285714286,1040.2857142857142,2796.8571428571427,1866.857142857143,754.5714285714286,2244.5714285714284,2776.714285714286,847.1428571428571,86.57142857142857,9313.0,2020-07-07
2020-07-08,771.7142857142857,220.42857142857142,816.5714285714286,1606.0,4523.285714285715,1782.0,2317.714285714286,1263.4285714285713,8291.42857142857,935.5714285714286,153.85714285714286,516.5714285714286,943.7142857142857,2708.4285714285716,1870.4285714285713,713.1428571428571,2249.0,2728.1428571428573,858.4285714285714,91.14285714285714,8730.42857142857,2020-07-08
2020-07-09,710.0,245.0,810.1428571428571,1629.2857142857142,4592.0,1773.2857142857142,2280.0,1284.4285714285713,8630.285714285714,912.1428571428571,147.71428571428572,522.0,984.2857142857143,2718.5714285714284,1908.142857142857,735.4285714285714,2219.1428571428573,2707.1428571428573,849.1428571428571,109.57142857142857,8225.0,2020-07-09
2020-07-10,717.8571428571429,234.28571428571428,818.5714285714286,1496.0,4560.428571428572,1740.857142857143,2296.1428571428573,1305.7142857142858,8879.857142857143,874.0,147.57142857142858,539.0,967.7142857142857,2770.1428571428573,1905.5714285714287,694.4285714285714,2088.5714285714284,2698.714285714286,848.5714285714286,107.28571428571429,7995.285714285715,2020-07-10
2020-07-11,691.4285714285714,241.71428571428572,791.2857142857143,1561.7142857142858,4383.428571428572,1685.0,2320.4285714285716,1300.4285714285713,8436.285714285714,867.4285714285714,149.57142857142858,552.0,873.4285714285714,2796.5714285714284,1890.857142857143,720.2857142857143,1973.857142857143,2677.5714285714284,855.1428571428571,108.42857142857143,7941.142857142857,2020-07-11
2020-07-12,723.8571428571429,241.71428571428572,795.2857142857143,1470.857142857143,4378.285714285715,1744.0,2354.714285714286,1279.7142857142858,8546.714285714286,875.0,159.71428571428572,561.4285714285714,935.1428571428571,2688.285714285714,1882.4285714285713,734.0,1994.857142857143,2674.714285714286,833.8571428571429,112.85714285714286,7944.428571428572,2020-07-12
2020-07-13,721.4285714285714,250.85714285714286,801.4285714285714,1435.857142857143,4326.285714285715,1723.2857142857142,2455.1428571428573,1253.2857142857142,8636.285714285714,888.0,156.28571428571428,564.0,928.5714285714286,2641.4285714285716,1898.142857142857,772.7142857142857,1968.2857142857142,2713.0,838.5714285714286,113.14285714285714,8098.285714285715,2020-07-13
2020-07-14,654.4285714285714,249.85714285714286,777.0,1400.7142857142858,4081.285714285714,1707.5714285714287,2531.5714285714284,1234.0,8958.57142857143,888.5714285714286,153.57142857142858,610.0,894.4285714285714,2751.0,1942.5714285714287,761.5714285714286,1988.4285714285713,2742.5714285714284,820.5714285714286,119.71428571428571,7723.142857142857,2020-07-14
2020-07-15,643.0,253.85714285714286,759.0,1390.4285714285713,3953.8571428571427,1828.0,2579.5714285714284,1254.857142857143,8923.0,932.7142857142857,153.42857142857142,648.7142857142857,973.7142857142857,2668.8571428571427,1950.857142857143,802.0,1929.0,2704.8571428571427,831.2857142857143,110.28571428571429,7415.0,2020-07-15
