Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,Data
2020-02-24,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,166.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2020-02-24
2020-02-25,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.5,117.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,1.5,1.0,0.0,0.0,21.0,2020-02-25
2020-02-26,0.0,0.0,0.0,0.0,15.666666666666666,0.0,0.6666666666666666,3.6666666666666665,84.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,23.333333333333332,2020-02-26
2020-02-27,0.25,0.0,0.0,0.75,24.25,0.0,0.5,4.75,99.25,0.75,0.0,0.25,0.0,0.5,0.25,0.0,1.0,0.5,0.0,0.0,27.5,2020-02-27
2020-02-28,0.2,0.0,0.2,0.8,29.0,0.0,0.4,3.8,105.0,1.2,0.0,0.2,0.0,2.2,0.6,0.0,0.8,1.6,0.0,0.0,30.0,2020-02-28
2020-02-29,0.3333333333333333,0.0,0.16666666666666666,2.1666666666666665,36.166666666666664,0.0,0.8333333333333334,7.0,101.5,1.8333333333333333,0.0,0.16666666666666666,0.0,1.8333333333333333,0.5,0.0,0.6666666666666666,1.8333333333333333,0.0,0.0,31.666666666666668,2020-02-29
2020-03-01,0.7142857142857143,0.0,0.14285714285714285,2.4285714285714284,40.714285714285715,0.8571428571428571,0.7142857142857143,3.5714285714285716,139.71428571428572,3.5714285714285716,0.0,0.14285714285714285,0.0,7.0,0.42857142857142855,0.0,1.2857142857142858,1.8571428571428572,0.2857142857142857,0.0,37.42857142857143,2020-03-01
2020-03-02,0.7142857142857143,0.0,0.14285714285714285,2.4285714285714284,45.285714285714285,1.2857142857142858,0.5714285714285714,3.142857142857143,154.57142857142858,5.0,0.0,0.14285714285714285,0.0,6.857142857142857,0.5714285714285714,0.0,1.0,1.8571428571428572,0.2857142857142857,0.0,34.285714285714285,2020-03-02
2020-03-03,0.8571428571428571,0.14285714285714285,0.14285714285714285,4.285714285714286,56.285714285714285,1.8571428571428572,1.5714285714285714,3.2857142857142856,182.85714285714286,8.714285714285714,0.42857142857142855,0.0,0.5714285714285714,7.571428571428571,0.8571428571428571,0.14285714285714285,0.5714285714285714,2.4285714285714284,1.1428571428571428,0.0,37.714285714285715,2020-03-03
2020-03-04,1.0,0.14285714285714285,0.14285714285714285,4.428571428571429,71.0,2.5714285714285716,3.857142857142857,2.142857142857143,223.14285714285714,11.857142857142858,0.42857142857142855,0.0,0.7142857142857143,11.285714285714286,1.2857142857142858,0.2857142857142857,2.142857142857143,5.142857142857143,1.2857142857142858,0.0,41.285714285714285,2020-03-04
2020-03-05,1.0,0.14285714285714285,0.2857142857142857,6.0,85.85714285714286,3.0,5.857142857142857,1.2857142857142858,264.0,17.285714285714285,1.0,0.0,1.0,15.142857142857142,1.8571428571428572,0.2857142857142857,2.0,8.428571428571429,1.2857142857142858,0.2857142857142857,42.285714285714285,2020-03-05
2020-03-06,1.1428571428571428,0.42857142857142855,0.42857142857142855,7.571428571428571,103.57142857142857,4.428571428571429,7.285714285714286,1.8571428571428572,297.2857142857143,21.857142857142858,1.7142857142857142,0.42857142857142855,1.4285714285714286,18.857142857142858,2.0,0.7142857142857143,2.857142857142857,10.142857142857142,2.2857142857142856,1.0,48.142857142857146,2020-03-06
2020-03-07,1.2857142857142858,0.42857142857142855,0.42857142857142855,6.857142857142857,113.28571428571429,6.0,10.0,1.2857142857142858,400.7142857142857,28.0,2.0,1.1428571428571428,2.0,28.0,3.2857142857142856,0.7142857142857143,4.428571428571429,14.571428571428571,3.4285714285714284,1.1428571428571428,50.285714285714285,2020-03-07
2020-03-08,1.7142857142857142,0.5714285714285714,1.1428571428571428,12.0,127.85714285714286,7.285714285714286,11.571428571428571,7.571428571428571,457.85714285714283,35.285714285714285,2.0,1.1428571428571428,3.2857142857142856,44.42857142857143,5.285714285714286,1.5714285714285714,6.285714285714286,21.857142857142858,3.4285714285714284,1.2857142857142858,58.142857142857146,2020-03-08
2020-03-09,3.5714285714285716,0.7142857142857143,1.4285714285714286,14.714285714285714,150.14285714285714,12.0,13.571428571428571,12.428571428571429,602.1428571428571,41.142857142857146,2.0,1.1428571428571428,4.714285714285714,42.714285714285715,6.571428571428571,2.7142857142857144,6.714285714285714,27.857142857142858,3.7142857142857144,2.142857142857143,67.28571428571429,2020-03-09
2020-03-10,4.571428571428571,0.8571428571428571,1.7142857142857142,13.857142857142858,159.0,14.714285714285714,14.571428571428571,16.714285714285715,610.1428571428571,47.57142857142857,1.7142857142857142,5.285714285714286,6.857142857142857,56.714285714285715,7.571428571428571,2.7142857142857144,7.857142857142857,35.0,4.142857142857143,2.4285714285714284,78.42857142857143,2020-03-10
2020-03-11,4.428571428571429,1.0,2.5714285714285716,17.571428571428573,170.71428571428572,15.428571428571429,17.142857142857142,24.0,780.0,56.42857142857143,1.8571428571428572,10.571428571428571,10.285714285714286,59.857142857142854,9.714285714285714,5.0,9.285714285714286,40.285714285714285,5.285714285714286,2.857142857142857,94.71428571428571,2020-03-11
2020-03-12,10.857142857142858,1.0,4.428571428571429,19.142857142857142,178.42857142857142,20.857142857142858,22.285714285714285,35.142857142857146,924.8571428571429,66.85714285714286,1.2857142857142858,14.714285714285714,14.285714285714286,67.42857142857143,12.857142857142858,5.285714285714286,13.857142857142858,43.285714285714285,7.857142857142857,3.5714285714285716,139.57142857142858,2020-03-12
2020-03-13,11.428571428571429,1.0,4.857142857142857,23.285714285714285,199.0,32.285714285714285,31.857142857142858,44.714285714285715,1029.7142857142858,80.85714285714286,0.7142857142857143,17.285714285714285,21.857142857142858,99.57142857142857,16.0,5.428571428571429,15.142857142857142,55.857142857142854,8.571428571428571,3.0,158.14285714285714,2020-03-13
2020-03-14,14.428571428571429,1.0,8.0,30.142857142857142,233.42857142857142,37.0,40.142857142857146,58.857142857142854,1180.7142857142858,98.85714285714286,0.42857142857142855,23.428571428571427,27.428571428571427,95.14285714285714,20.0,6.0,17.285714285714285,73.85714285714286,11.857142857142858,4.857142857142857,199.14285714285714,2020-03-14
2020-03-15,17.142857142857142,1.0,8.428571428571429,33.142857142857146,273.2857142857143,41.42857142857143,49.857142857142854,68.71428571428571,1297.5714285714287,123.0,0.42857142857142855,27.857142857142858,50.714285714285715,107.28571428571429,27.142857142857142,9.428571428571429,19.285714285714285,87.85714285714286,16.714285714285715,6.857142857142857,214.57142857142858,2020-03-15
2020-03-16,20.857142857142858,1.0,11.142857142857142,40.0,305.14285714285717,41.857142857142854,60.142857142857146,79.71428571428571,1311.4285714285713,131.28571428571428,1.0,33.142857142857146,49.285714285714285,166.57142857142858,25.714285714285715,12.571428571428571,22.714285714285715,94.0,19.428571428571427,12.857142857142858,247.0,2020-03-16
2020-03-17,27.285714285714285,1.8571428571428572,14.428571428571429,47.57142857142857,342.57142857142856,39.714285714285715,70.14285714285714,91.0,1489.857142857143,139.57142857142858,1.4285714285714286,36.142857142857146,47.57142857142857,206.28571428571428,40.142857142857146,13.857142857142858,25.0,112.71428571428571,22.857142857142858,17.0,264.0,2020-03-17
2020-03-18,32.142857142857146,2.7142857142857144,15.714285714285714,43.714285714285715,398.0,48.0,82.0,99.0,1490.4285714285713,155.57142857142858,1.7142857142857142,43.0,54.0,262.85714285714283,43.714285714285715,13.857142857142858,28.428571428571427,144.28571428571428,28.714285714285715,20.714285714285715,313.0,2020-03-18
2020-03-19,43.0,4.142857142857143,19.428571428571427,67.57142857142857,466.7142857142857,61.714285714285715,89.0,112.14285714285714,1594.142857142857,163.57142857142858,4.285714285714286,47.42857142857143,59.42857142857143,336.0,53.42857142857143,23.857142857142858,32.142857142857146,159.71428571428572,38.57142857142857,26.857142857142858,300.0,2020-03-19
2020-03-20,51.42857142857143,6.0,24.142857142857142,75.57142857142857,529.2857142857143,57.0,104.42857142857143,125.14285714285714,1777.7142857142858,179.42857142857142,4.714285714285714,60.42857142857143,68.42857142857143,374.42857142857144,64.57142857142857,35.714285714285715,39.714285714285715,189.0,45.57142857142857,33.714285714285715,348.0,2020-03-20
