Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,Data
2020-04-30,5.714285714285714,0.14285714285714285,1.4285714285714286,3.857142857142857,40.285714285714285,4.714285714285714,9.428571428571429,17.142857142857142,118.85714285714286,7.0,0.14285714285714285,2.0,5.142857142857143,62.285714285714285,6.142857142857143,2.5714285714285716,3.142857142857143,17.0,0.8571428571428571,1.4285714285714286,36.142857142857146,2020-04-30
2020-05-01,5.428571428571429,0.14285714285714285,0.8571428571428571,3.2857142857142856,39.42857142857143,5.142857142857143,14.0,15.428571428571429,107.71428571428571,6.571428571428571,0.14285714285714285,2.142857142857143,4.857142857142857,56.857142857142854,5.428571428571429,2.142857142857143,2.7142857142857144,16.0,0.8571428571428571,1.1428571428571428,33.57142857142857,2020-05-01
2020-05-02,4.857142857142857,0.0,1.1428571428571428,3.0,38.142857142857146,4.571428571428571,15.714285714285714,14.571428571428571,131.42857142857142,6.0,0.0,2.0,3.5714285714285716,51.285714285714285,4.428571428571429,2.2857142857142856,2.2857142857142856,14.714285714285714,0.7142857142857143,1.0,30.571428571428573,2020-05-02
2020-05-03,5.0,0.0,1.1428571428571428,2.7142857142857144,36.57142857142857,4.714285714285714,17.0,13.571428571428571,129.42857142857142,6.857142857142857,0.14285714285714285,1.7142857142857142,3.4285714285714284,47.0,3.5714285714285716,1.4285714285714286,2.0,13.428571428571429,0.5714285714285714,1.0,28.714285714285715,2020-05-03
2020-05-04,4.714285714285714,0.0,0.7142857142857143,2.0,33.57142857142857,4.0,18.142857142857142,13.285714285714286,120.71428571428571,6.857142857142857,0.14285714285714285,2.0,3.2857142857142856,44.0,3.4285714285714284,1.4285714285714286,1.8571428571428572,12.285714285714286,0.7142857142857143,0.8571428571428571,26.285714285714285,2020-05-04
2020-05-05,3.5714285714285716,0.0,0.42857142857142855,1.5714285714285714,33.285714285714285,3.5714285714285716,17.142857142857142,13.0,116.28571428571429,6.142857142857143,0.14285714285714285,2.0,3.0,40.0,3.7142857142857144,1.4285714285714286,2.142857142857143,11.142857142857142,0.7142857142857143,0.5714285714285714,19.571428571428573,2020-05-05
2020-05-06,3.7142857142857144,0.0,0.42857142857142855,2.4285714285714284,32.142857142857146,3.0,15.285714285714286,13.0,133.14285714285714,6.285714285714286,0.14285714285714285,1.7142857142857142,3.0,34.857142857142854,4.0,0.42857142857142855,2.5714285714285716,10.285714285714286,0.5714285714285714,0.2857142857142857,18.714285714285715,2020-05-06
2020-05-07,4.0,0.14285714285714285,0.42857142857142855,2.857142857142857,30.714285714285715,2.7142857142857144,14.571428571428571,12.428571428571429,139.0,6.0,0.14285714285714285,1.5714285714285714,2.857142857142857,30.857142857142858,3.7142857142857144,0.42857142857142855,2.2857142857142856,10.428571428571429,0.42857142857142855,0.2857142857142857,18.571428571428573,2020-05-07
2020-05-08,3.857142857142857,0.14285714285714285,0.5714285714285714,3.857142857142857,31.142857142857142,2.0,9.571428571428571,11.571428571428571,139.85714285714286,6.142857142857143,0.14285714285714285,1.5714285714285714,2.142857142857143,29.714285714285715,3.142857142857143,0.2857142857142857,2.2857142857142856,10.857142857142858,0.42857142857142855,0.2857142857142857,21.142857142857142,2020-05-08
2020-05-09,4.0,0.2857142857142857,0.2857142857142857,3.7142857142857144,30.428571428571427,1.8571428571428572,8.0,11.571428571428571,105.0,6.0,0.14285714285714285,1.5714285714285714,1.8571428571428572,29.285714285714285,3.0,0.0,2.2857142857142856,10.571428571428571,0.42857142857142855,0.2857142857142857,20.142857142857142,2020-05-09
2020-05-10,4.142857142857143,0.2857142857142857,0.42857142857142855,3.857142857142857,29.0,1.8571428571428572,7.0,10.285714285714286,107.85714285714286,4.714285714285714,0.0,1.2857142857142858,1.7142857142857142,30.714285714285715,3.4285714285714284,0.14285714285714285,2.0,10.0,0.42857142857142855,0.14285714285714285,20.142857142857142,2020-05-10
